
 WorkFlow
Start 2022-02-16 12:16:11  Run : 10 nSubj: 100 nObs : 1100
 Iter      -2LL     tvV    tvCl    tvV2   tvCl2
    1 -2015.925 88.8431 5.10690 91.1316 8.29081
    2 -2028.199 89.4815 5.03963 90.1857 7.64443
    3 -2029.818 90.4726 5.05008 91.3106 7.56922
    4 -2031.882 91.9194 4.99275 93.6416 7.54101
    5 -2032.652 91.9300 4.94629 95.5530 7.57691
    6 -2032.887 91.4079 4.90884 97.1109 7.58953
    7 -2032.944 90.9945 4.88762 97.5599 7.59734
    8 -2032.983 90.6212 4.87443 97.9503 7.59627
    9 -2033.012 90.5810 4.86685 98.3785 7.59720
   10 -2033.041 90.7660 4.85162 99.0035 7.59301
   11 -2033.047 90.9292 4.85124 99.1087 7.59336
   12 -2033.048 91.0471 4.84952 99.2146 7.59347
   13 -2033.048 90.9881 4.85042 99.2337 7.59490
